"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LED3,LED1,LED2";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";3;"WS2812B";;;
2;"SW49,SW48,SW55,SW70,SW75,SW54,SW39,SW57,SW74,SW76,SW47,SW62,SW66,SW33,SW50,SW35,SW45,SW73,SW59,SW42,SW34,SW63,SW58,SW61,SW41,SW43,SW51,SW64,SW38,SW60,SW44,SW36,SW40,SW53,SW52,SW46,SW72,SW71,SW56";"SW_Cherry_MX_1.00u_PCB";39;"SW_Push_45deg";;;
3;"SW69";"SW_Cherry_MX_2.25u_PCB";1;"SW_Push_45deg";;;
4;"SW67,SW37";"SW_Cherry_MX_2.00u_PCB";2;"SW_Push_45deg";;;
5;"SW68";"SW_Cherry_MX_1.50u_PCB";1;"SW_Push_45deg";;;
6;"SW65";"SW_Cherry_MX_1.75u_PCB";1;"SW_Push_45deg";;;
7;"C17,C8,C16,C4";"C_0402_1005Metric";4;"1uF";;;
8;"C6,C1,C9,C14,C10,C13,C15,C18,C20,C19,C5,C12,C11";"C_0402_1005Metric";13;"100nF";;;
9;"D46,D56,D53,D38,D43,D52,D36,D67,D39,D66,D47,D68,D75,D41,D48,D54,D35,D34,D65,D40,D50,D59,D37,D49,D58,D70,D42,D73,D51,D60,D44,D71,D55,D45,D72,D33,D61,D62,D63,D57,D64,D76,D74,D69";"D_SOD-323F";44;"1N4148";;;
10;"U3";"RP2040-QFN-56";1;"RP2040";;;
11;"R9,R8";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"10k";;;
12;"C7";"C_0402_1005Metric";1;"10uF";;;
13;"U1";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
14;"U2";"SOT-23-6";1;"USBLC6-2SC6";;;
15;"C3,C2";"C_0402_1005Metric";2;"22pF";;;
16;"R6,R5";"R_0603_1608Metric";2;"27R";;;
17;"J4";"PJ-342B";1;"ConnRight";;;
18;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
19;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
20;"Q1";"SOT-23";1;"BSS138";;;
21;"R2,R1,R7";"R_0402_1005Metric";3;"1k";;;
22;"R3,R4";"R_0402_1005Metric";2;"5k1";;;
23;"J3";"PJ-342B";1;"ConnLeft";;;
24;"SW_RESET1";"SW_SPST_TL3342";1;"SW_Push";;;
25;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
26;"U4";"SOT-23";1;"XC6206PxxxMR-Regulator_Linear";;;
